strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
186,20191125,18,16,yes,no,1006.493,950.865,3652.786,1839.943,3358.666,1836.887
186,20191125,17,16,yes,no,1009.503,1011.087,5266.147,2260.279,3267.324,1258.811
186,20191125,16,16,yes,no,851.799,603.132,4342.405,1941.393,2755.439,769.012
186,20191125,15,16,yes,no,772.051,442.181,3870.313,1898.797,3069.333,1012.246
186,20191125,14,16,yes,no,1071.898,884.108,12472.852,3876.715,4438.257,2165.428
186,20191125,13,16,yes,no,1038.873,930.904,4701.584,2201.556,4418.623,1594.87
186,20191125,12,16,yes,no,798.031,555.062,4746.126,2050.434,5058.663,1128.832
186,20191125,11,16,yes,no,759.485,426.35,1955.242,1267.005,3579.805,1343.996
186,20191125,10,16,yes,no,1209.925,1457.062,2104.12,1330.535,4395.025,1511.785
186,20191125,9,16,yes,no,1204.623,963.093,9891.631,2956.828,2755.394,1025.003
186,20191125,8,16,yes,no,888.221,748.238,2853.65,1552.525,3803.591,1828.56
186,20191125,7,16,yes,no,791.118,488.314,25336.438,6440.7,4877.188,1698.127
186,20191125,6,16,yes,no,1396.349,1767.974,1973.511,1270.165,4259.471,1916.82
186,20191125,5,16,yes,no,774.395,478.372,4113.298,1828.856,3834.945,1534.764
186,20191125,4,16,yes,no,941.239,754.993,10475.165,3339.687,2929.374,1033.408
186,20191125,3,16,yes,no,951.705,717.489,10297.147,3464.099,6203.985,1554.134
186,20191125,2,16,yes,no,714.286,393.763,18192.537,5177.209,2349.518,1439.964
186,20191125,1,16,yes,no,807.773,571.983,7462.649,2725.647,3449.738,1398.778
187,20191125,1,16,no,yes,1124.657,769.189,733.796,589.57,6121.904,1296.318
187,20191125,2,16,no,yes,1132.231,754.444,699.396,539.908,6930.28,1883.997
187,20191125,3,16,no,yes,10003.429,3583.495,1424.176,973.604,11316.599,3709.038
187,20191125,5,16,no,yes,11624.148,3827.914,1479.564,983.24,4467.518,1372.811
187,20191125,6,16,no,yes,11486.161,3841.166,1812.036,1119.174,8544.13,2714.934
187,20191125,7,16,no,yes,16449.962,4615.693,2715.73,1409.219,10426.537,7145.015
187,20191125,8,16,no,yes,17557.587,4796.172,2138.487,1303.682,10456.992,3052.043
187,20191125,9,16,no,yes,16925.703,4672.6,2087.44,1268.186,10497.491,3048.426
187,20191125,10,16,no,yes,18883.623,4822.665,2583.7,1460.636,5835.464,5489.828
187,20191125,11,16,no,yes,19913.938,4987.006,2132.626,1256.517,10158.962,3668.039
